frequency_hz,size_kb,level,throughput_ma_s,latency_s
800000,12,L1,10977.963,9.109e-11
800000,368,L2,4125.973,2.424e-10
800000,6144,L3,329.781,3.032e-09
800000,4000000,DRAM,69.830,1.432e-08
900000,12,L1,11221.918,8.911e-11
900000,368,L2,4101.409,2.438e-10
900000,6144,L3,362.574,2.758e-09
900000,4000000,DRAM,74.958,1.334e-08
1000000,12,L1,11215.090,8.916e-11
1000000,368,L2,4123.971,2.425e-10
1000000,6144,L3,398.735,2.508e-09
1000000,4000000,DRAM,78.217,1.278e-08
1100000,12,L1,10984.505,9.104e-11
1100000,368,L2,4122.964,2.425e-10
1100000,6144,L3,427.893,2.337e-09
1100000,4000000,DRAM,84.063,1.190e-08
1200000,12,L1,11228.754,8.906e-11
1200000,368,L2,4091.612,2.444e-10
1200000,6144,L3,454.997,2.198e-09
1200000,4000000,DRAM,88.009,1.136e-08
1300000,12,L1,11273.394,8.870e-11
1300000,368,L2,4126.395,2.423e-10
1300000,6144,L3,460.545,2.171e-09
1300000,4000000,DRAM,91.904,1.088e-08
1400000,12,L1,11287.201,8.859e-11
1400000,368,L2,4076.415,2.453e-10
1400000,6144,L3,520.760,1.920e-09
1400000,4000000,DRAM,95.562,1.046e-08
1500000,12,L1,11307.975,8.843e-11
1500000,368,L2,4126.214,2.424e-10
1500000,6144,L3,513.567,1.947e-09
1500000,4000000,DRAM,97.981,1.021e-08
1600000,12,L1,11290.658,8.857e-11
1600000,368,L2,4043.291,2.473e-10
1600000,6144,L3,563.445,1.775e-09
1600000,4000000,DRAM,99.829,1.002e-08
1700000,12,L1,11096.930,9.011e-11
1700000,368,L2,4124.663,2.424e-10
1700000,6144,L3,609.568,1.641e-09
1700000,4000000,DRAM,103.971,9.618e-09
1800000,12,L1,11211.679,8.919e-11
1800000,368,L2,4099.624,2.439e-10
1800000,6144,L3,634.319,1.576e-09
1800000,4000000,DRAM,105.005,9.523e-09
1900000,12,L1,11294.118,8.854e-11
1900000,368,L2,3897.187,2.566e-10
1900000,6144,L3,657.064,1.522e-09
1900000,4000000,DRAM,106.287,9.408e-09
2000000,12,L1,11332.309,8.824e-11
2000000,368,L2,4101.573,2.438e-10
2000000,6144,L3,642.218,1.557e-09
2000000,4000000,DRAM,108.305,9.233e-09
2100000,12,L1,11259.621,8.881e-11
2100000,368,L2,4096.312,2.441e-10
2100000,6144,L3,663.638,1.507e-09
2100000,4000000,DRAM,110.382,9.059e-09
2200000,12,L1,11266.504,8.876e-11
2200000,368,L2,4124.468,2.425e-10
2200000,6144,L3,664.150,1.506e-09
2200000,4000000,DRAM,112.577,8.883e-09
2300000,12,L1,11332.309,8.824e-11
2300000,368,L2,4124.347,2.425e-10
2300000,6144,L3,743.156,1.346e-09
2300000,4000000,DRAM,112.354,8.900e-09
2400000,12,L1,11225.335,8.908e-11
2400000,368,L2,4123.821,2.425e-10
2400000,6144,L3,762.686,1.311e-09
2400000,4000000,DRAM,116.248,8.602e-09
2500000,12,L1,11328.826,8.827e-11
2500000,368,L2,4103.672,2.437e-10
2500000,6144,L3,779.495,1.283e-09
2500000,4000000,DRAM,117.340,8.522e-09
2600000,12,L1,11256.183,8.884e-11
2600000,368,L2,4124.618,2.424e-10
2600000,6144,L3,798.334,1.253e-09
2600000,4000000,DRAM,116.466,8.586e-09
2700000,12,L1,11256.183,8.884e-11
2700000,368,L2,4126.817,2.423e-10
2700000,6144,L3,807.324,1.239e-09
2700000,4000000,DRAM,120.942,8.268e-09
2800000,12,L1,11311.445,8.841e-11
2800000,368,L2,4124.709,2.424e-10
2800000,6144,L3,823.031,1.215e-09
2800000,4000000,DRAM,121.283,8.245e-09
2900000,12,L1,11301.042,8.849e-11
2900000,368,L2,4103.225,2.437e-10
2900000,6144,L3,838.325,1.193e-09
2900000,4000000,DRAM,123.139,8.121e-09
3000000,12,L1,11007.465,9.085e-11
3000000,368,L2,4104.059,2.437e-10
3000000,6144,L3,854.209,1.171e-09
3000000,4000000,DRAM,124.028,8.063e-09
3100000,12,L1,11325.346,8.830e-11
3100000,368,L2,4125.281,2.424e-10
3100000,6144,L3,868.583,1.151e-09
3100000,4000000,DRAM,124.572,8.027e-09
3200000,12,L1,11353.249,8.808e-11
3200000,368,L2,4125.762,2.424e-10
3200000,6144,L3,883.312,1.132e-09
3200000,4000000,DRAM,124.618,8.025e-09
3300000,12,L1,11325.346,8.830e-11
3300000,368,L2,4086.140,2.447e-10
3300000,6144,L3,906.317,1.103e-09
3300000,4000000,DRAM,126.477,7.907e-09
3400000,12,L1,11194.655,8.933e-11
3400000,368,L2,4125.943,2.424e-10
3400000,6144,L3,913.862,1.094e-09
3400000,4000000,DRAM,126.553,7.902e-09
3500000,12,L1,11127.075,8.987e-11
3500000,368,L2,4124.678,2.424e-10
3500000,6144,L3,906.275,1.103e-09
3500000,4000000,DRAM,128.661,7.772e-09
3600000,12,L1,11342.769,8.816e-11
3600000,368,L2,4126.048,2.424e-10
3600000,6144,L3,950.787,1.052e-09
3600000,4000000,DRAM,129.313,7.733e-09
3700000,12,L1,11290.658,8.857e-11
3700000,368,L2,4101.439,2.438e-10
3700000,6144,L3,963.896,1.037e-09
3700000,4000000,DRAM,129.192,7.740e-09
3800000,12,L1,11290.658,8.857e-11
3800000,368,L2,4089.791,2.445e-10
3800000,6144,L3,976.198,1.024e-09
3800000,4000000,DRAM,130.335,7.673e-09
3900000,12,L1,11314.917,8.838e-11
3900000,368,L2,4099.327,2.439e-10
3900000,6144,L3,985.760,1.014e-09
3900000,4000000,DRAM,130.474,7.664e-09
4000000,12,L1,11360.247,8.803e-11
4000000,368,L2,4030.519,2.481e-10
4000000,6144,L3,999.318,1.001e-09
4000000,4000000,DRAM,131.077,7.629e-09
4100000,12,L1,11332.309,8.824e-11
4100000,368,L2,4041.195,2.475e-10
4100000,6144,L3,1018.142,9.822e-10
4100000,4000000,DRAM,132.104,7.570e-09
4200000,12,L1,11215.090,8.916e-11
4200000,368,L2,4000.495,2.500e-10
4200000,6144,L3,1021.929,9.785e-10
4200000,4000000,DRAM,131.929,7.580e-09
4300000,12,L1,11342.769,8.816e-11
4300000,368,L2,3984.281,2.510e-10
4300000,6144,L3,1031.933,9.691e-10
4300000,4000000,DRAM,132.043,7.573e-09
4400000,12,L1,11311.445,8.841e-11
4400000,368,L2,4104.000,2.437e-10
4400000,6144,L3,1041.830,9.598e-10
4400000,4000000,DRAM,132.689,7.536e-09
4500000,12,L1,11283.747,8.862e-11
4500000,368,L2,4086.125,2.447e-10
4500000,6144,L3,1053.125,9.496e-10
4500000,4000000,DRAM,133.145,7.511e-09
4600000,12,L1,11110.307,9.001e-11
4600000,368,L2,4126.425,2.423e-10
4600000,6144,L3,1061.855,9.417e-10
4600000,4000000,DRAM,133.553,7.488e-09
